#	LINE-ConsumerZipfMandelbrot-csZero-producer5-duration[1,10]
#	./waf --run "xiaoke --duration=1 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration1.dat 2>&1
#	./waf --run "xiaoke --duration=2 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration2.dat 2>&1
#	./waf --run "xiaoke --duration=3 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration3.dat 2>&1
#	./waf --run "xiaoke --duration=4 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration4.dat 2>&1
#	./waf --run "xiaoke --duration=5 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration5.dat 2>&1
#	./waf --run "xiaoke --duration=6 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration6.dat 2>&1
#	./waf --run "xiaoke --duration=7 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration7.dat 2>&1
#	./waf --run "xiaoke --duration=8 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration8.dat 2>&1
#	./waf --run "xiaoke --duration=9 --seed=3 --producerNum=5 --consumerClass=ConsumerZipfMandelbrot --csSize=Zero">./output3/Dot/DOT-ConsumerZipfMandelbrot-csZero-producer5-duration9.dat 2>&1
#	None	None
1	1442	2315	1289
2	4266	4671	2453
3	6010	6971	3438
4	9215	9309	4577
5	11617	11689	5787
6	15237	13976	6930
7	17196	16266	7918
8	20110	18549	9027
9	22648	20880	10153
